pop xdeg xmin xsec xdir ydeg ymin ysec ydir commune province
14 72 45 45 W 19 39 45 N GROS_MORNE ARTIBONITE
28 72 45 15 W 19 39 45 N GROS_MORNE ARTIBONITE
28 72 44 45 W 19 39 45 N GROS_MORNE ARTIBONITE
1832 72 44 15 W 19 39 45 N GROS_MORNE ARTIBONITE
41 72 43 45 W 19 39 45 N GROS_MORNE ARTIBONITE
84 72 43 15 W 19 39 45 N GROS_MORNE ARTIBONITE
1387 72 42 45 W 19 39 45 N GROS_MORNE ARTIBONITE
188 72 42 15 W 19 39 45 N GROS_MORNE ARTIBONITE
38 72 47 45 W 19 39 15 N GROS_MORNE ARTIBONITE
50 72 47 15 W 19 39 15 N GROS_MORNE ARTIBONITE
915 72 46 45 W 19 39 15 N GROS_MORNE ARTIBONITE
56 72 46 15 W 19 39 15 N GROS_MORNE ARTIBONITE
41 72 45 45 W 19 39 15 N GROS_MORNE ARTIBONITE
38 72 45 15 W 19 39 15 N GROS_MORNE ARTIBONITE
28 72 44 45 W 19 39 15 N GROS_MORNE ARTIBONITE
28 72 44 15 W 19 39 15 N GROS_MORNE ARTIBONITE
75 72 43 45 W 19 39 15 N GROS_MORNE ARTIBONITE
113 72 43 15 W 19 39 15 N GROS_MORNE ARTIBONITE
844 72 42 45 W 19 39 15 N GROS_MORNE ARTIBONITE
59 72 42 15 W 19 39 15 N GROS_MORNE ARTIBONITE
169 72 41 45 W 19 39 15 N GROS_MORNE ARTIBONITE
38 72 47 45 W 19 38 45 N GROS_MORNE ARTIBONITE
29 72 47 15 W 19 38 45 N GROS_MORNE ARTIBONITE
47 72 46 45 W 19 38 45 N GROS_MORNE ARTIBONITE
41 72 46 15 W 19 38 45 N GROS_MORNE ARTIBONITE
50 72 45 45 W 19 38 45 N GROS_MORNE ARTIBONITE
28 72 45 15 W 19 38 45 N GROS_MORNE ARTIBONITE
38 72 44 45 W 19 38 45 N GROS_MORNE ARTIBONITE
75 72 44 15 W 19 38 45 N GROS_MORNE ARTIBONITE
28 72 43 45 W 19 38 45 N GROS_MORNE ARTIBONITE
1388 72 43 15 W 19 38 45 N GROS_MORNE ARTIBONITE
28 72 42 45 W 19 38 45 N GROS_MORNE ARTIBONITE
47 72 42 15 W 19 38 45 N GROS_MORNE ARTIBONITE
3204 72 41 45 W 19 38 45 N GROS_MORNE ARTIBONITE
15 72 47 45 W 19 38 15 N GROS_MORNE ARTIBONITE
4 72 47 15 W 19 38 15 N GROS_MORNE ARTIBONITE
29 72 46 45 W 19 38 15 N GROS_MORNE ARTIBONITE
686 72 46 15 W 19 38 15 N GROS_MORNE ARTIBONITE
70 72 45 45 W 19 38 15 N GROS_MORNE ARTIBONITE
28 72 45 15 W 19 38 15 N GROS_MORNE ARTIBONITE
29 72 44 45 W 19 38 15 N GROS_MORNE ARTIBONITE
29 72 44 15 W 19 38 15 N GROS_MORNE ARTIBONITE
66 72 43 45 W 19 38 15 N GROS_MORNE ARTIBONITE
35 72 43 15 W 19 38 15 N GROS_MORNE ARTIBONITE
28 72 42 45 W 19 38 15 N GROS_MORNE ARTIBONITE
56 72 42 15 W 19 38 15 N GROS_MORNE ARTIBONITE
98 72 41 45 W 19 38 15 N GROS_MORNE ARTIBONITE
19 72 47 15 W 19 37 45 N GROS_MORNE ARTIBONITE
14 72 46 45 W 19 37 45 N GROS_MORNE ARTIBONITE
53 72 46 15 W 19 37 45 N GROS_MORNE ARTIBONITE
14 72 44 45 W 19 37 45 N GROS_MORNE ARTIBONITE
23 72 44 15 W 19 37 45 N GROS_MORNE ARTIBONITE
66 72 43 45 W 19 37 45 N GROS_MORNE ARTIBONITE
47 72 43 15 W 19 37 45 N GROS_MORNE ARTIBONITE
47 72 42 45 W 19 37 45 N GROS_MORNE ARTIBONITE
70 72 42 15 W 19 37 45 N GROS_MORNE ARTIBONITE
38 72 43 45 W 19 37 15 N GROS_MORNE ARTIBONITE
64 72 43 15 W 19 37 15 N GROS_MORNE ARTIBONITE
29 72 42 45 W 19 37 15 N GROS_MORNE ARTIBONITE
